PCOM 5003, 25298.0, TR, 03:30 PM - 04:45 PM, 3.0, PCOM 5003 - Applied Research Methods (T/R 03:30 PM - 04:45 PM)
PCOM 5003, 25299.0, TR, 03:30 PM - 04:45 PM, 3.0, PCOM 5003 - Applied Research Methods (T/R 03:30 PM - 04:45 PM)
PCOM 5006, 26447.0, MW, 05:00 PM - 06:50 PM, 3.0, PCOM 5006 - Comm, Prod, Experiential Desig (M/W 05:00 PM - 06:50 PM)
PCOM 5006, 26448.0, MW, 05:00 PM - 06:50 PM, 3.0, PCOM 5006 - Comm, Prod, Experiential Desig (M/W 05:00 PM - 06:50 PM)
GEOL 493, 31516.0, F, 12:00 PM - 12:50 PM, 1.0, GEOL 493 - Seminar (F 12:00 PM - 12:50 PM)
PSYC 1110, 25075.0, MWF, 09:00 AM - 09:50 AM, 3.0, PSYC 1110 - Intro to Psychology (Freshman) (M/W/F 09:00 AM - 09:50 AM)
PSYC 1110, 25084.0, MWF, 09:00 AM - 09:50 AM, 3.0, PSYC 1110 - g:Introduction to Psychology (M/W/F 09:00 AM - 09:50 AM)
PSYC 1180, 26193.0, TR, 05:00 PM - 06:15 PM, 3.0, PSYC 1180 - Science & Pseudoscienc (Fresh) (T/R 05:00 PM - 06:15 PM)
PSYC 1180, 26194.0, TR, 05:00 PM - 06:15 PM, 3.0, PSYC 1180 - g:Science & Pseudoscience (T/R 05:00 PM - 06:15 PM)
PSYC 1190, 26449.0, TR, 12:30 PM - 01:45 PM, 3.0, PSYC 1190 - g:Human Factors in Engineering (T/R 12:30 PM - 01:45 PM)
PSYC 2331, 26450.0, TR, 11:00 AM - 12:15 PM, 3.0, PSYC 2331 - g:Psychobiology of Sex (T/R 11:00 AM - 12:15 PM)
PSYC 3005, 26060.0, MWF, 11:00 AM - 11:50 AM, 3.0, PSYC 3005 - g:Cognitive Psychology (M/W/F 11:00 AM - 11:50 AM)
PSYC 3005L, 26061.0, W, 03:00 PM - 04:50 PM, 1.0, PSYC 3005L - g:Cognitive Psychology Lab (W 03:00 PM - 04:50 PM)
PSYC 4005, 26451.0, MWF, 04:00 PM - 04:50 PM, 3.0, PSYC 4005 - Assessment  & Measurement (M/W/F 04:00 PM - 04:50 PM)
GEOL 503, 30678.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 503 - Introduction to Soils (T/R 08:00 AM - 09:15 AM)
GEOL 503, 31701.0, TR, 08:00 AM - 09:15 AM, 3.0, GEOL 503 - Introduction to Soils (T/R 08:00 AM - 09:15 AM)
GEOL 512, 30978.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 512 - Geographic Information Systems (T/R 11:00 AM - 12:15 PM)
GEOL 512, 30979.0, TR, 11:00 AM - 12:15 PM, 3.0, GEOL 512 - Geographic Information Systems (T/R 11:00 AM - 12:15 PM)
GEOL 572, 31768.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 572 - Special Topics in Engr Geology (T/R 09:30 AM - 10:45 AM)
GEOL 572, 31570.0, TR, 09:30 AM - 10:45 AM, 3.0, GEOL 572 - Special Topics in Engr Geology (T/R 09:30 AM - 10:45 AM)
GEOL 589, 30982.0, W, 11:00 AM - 01:50 PM, 3.0, GEOL 589 - Lithogeochemistry (W 11:00 AM - 01:50 PM)
GEOL 589, 30983.0, M, 10:00 AM - 12:50 PM, 3.0, GEOL 589 - Crustal Fluids (M 10:00 AM - 12:50 PM)
GEOL 589, 31103.0, T, 04:30 PM - 07:00 PM, 3.0, GEOL 589 - Geol & Econ of Industrial (T 04:30 PM - 07:00 PM)
GEOL 592, 31740.0, M, 01:00 PM - 01:50 PM, 1.0, GEOL 592 - Graduate Seminar (M 01:00 PM - 01:50 PM)
POLS 4070, 25228.0, M, 02:00 PM - 03:15 PM, 3.0, POLS 4070 - g:Policy Science (M 02:00 PM - 03:15 PM)
POLS 5070, 25229.0, M, 02:00 PM - 03:15 PM, 3.0, POLS 5070 - Policy Science (M 02:00 PM - 03:15 PM)
OPTC 4010, 26432.0, MWF, 11:00 AM - 11:50 AM, 3.0, OPTC 4010 - Advanced Optics (M/W/F 11:00 AM - 11:50 AM)
MUSV 1071, 26446.0, M, 06:30 PM - 08:00 PM, 1.0, MUSV 1071 - Begin Group Voice (M 06:30 PM - 08:00 PM)
MUSV 3041, 25987.0, T, 05:00 PM - 06:15 PM, 1.0, MUSV 3041 - Jazz Ensemble (T 05:00 PM - 06:15 PM)
MUSV 3052, 26239.0, M, 05:00 PM - 05:50 PM, 1.0, MUSV 3052 - Chamber Orchestra (M 05:00 PM - 05:50 PM)
MUSC 0189, 26159.0, T, 04:00 PM - 04:50 PM, 1.0, MUSC 0189 - Intro to Counterpoint & Harmon (T 04:00 PM - 04:50 PM)
MUSC 1210, 25068.0, MWF, 12:00 PM - 12:50 PM, 3.0, MUSC 1210 - Fundamentals of Music (Fresh) (M/W/F 12:00 PM - 12:50 PM)
MUSC 1210, 25115.0, MWF, 12:00 PM - 12:50 PM, 3.0, MUSC 1210 - g:Fundamentals of Music (M/W/F 12:00 PM - 12:50 PM)
MUSC 3009, 26445.0, TR, 05:00 PM - 06:15 PM, 3.0, MUSC 3009 - g:Song & Society (T/R 05:00 PM - 06:15 PM)
ME 101, 25098.0, F, 02:00 PM - 04:30 PM, 1.0, ME 101 - Intro to Mineral Engineering (F 02:00 PM - 04:30 PM)
ME 3020, 25384.0, MW, 09:00 AM - 09:50 AM, 2.0, ME 3020 - Economic Analysis (M/W 09:00 AM - 09:50 AM)
ME 3040, 25385.0, TR, 09:30 AM - 10:45 AM, 3.0, ME 3040 - Geostatistics & Mineral Eval (T/R 09:30 AM - 10:45 AM)
ME 3060, 25386.0, F, 08:00 AM - 05:00 PM, 3.0, ME 3060 - Exploration & Field Mapping (F 08:00 AM - 05:00 PM)
ME 4020, 25388.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 4020 - Soil Mechanics (T/R 11:00 AM - 12:15 PM)
ME 4035, 25389.0, MW, 10:00 AM - 11:15 AM, 3.0, ME 4035 - Rock Slope Engineering (M/W 10:00 AM - 11:15 AM)
ME 4040, 25391.0, TR, 12:30 PM - 01:45 PM, 3.0, ME 4040 - Mine Ventilation (T/R 12:30 PM - 01:45 PM)
ME 4062, 25393.0, TR, 09:30 AM - 10:45 AM, 3.0, ME 4062 - Mineral Deposits (T/R 09:30 AM - 10:45 AM)
ME 5006, 25400.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 5006 - Soil Mechanics (T/R 11:00 AM - 12:15 PM)
ME 5012, 25403.0, MW, 11:30 AM - 12:45 PM, 3.0, ME 5012 - Advanced Rock Mechanics (M/W 11:30 AM - 12:45 PM)
ME 5021, 25404.0, TR, 11:00 AM - 12:15 PM, 3.0, ME 5021 - Advanced Minerals Exploration (T/R 11:00 AM - 12:15 PM)
PETR 101, 25089.0, T, 11:00 AM - 11:50 AM, 1.0, PETR 101 - Intro to Petroleum Engineering (T 11:00 AM - 11:50 AM)
PETR 3011, 25660.0, TR, 08:00 AM - 09:15 AM, 3.0, PETR 3011 - Drilling Engineering (T/R 08:00 AM - 09:15 AM)
PETR 3011L, 25661.0, T, 02:00 PM - 04:30 PM, 1.0, PETR 3011L - Drilling Mud Lab (T 02:00 PM - 04:30 PM)
PETR 3045, 25662.0, MWF, 12:00 PM - 12:50 PM, 3.0, PETR 3045 - Reservoir Engineering I (M/W/F 12:00 PM - 12:50 PM)
PETR 3045L, 25664.0, M, 02:00 PM - 04:30 PM, 1.0, PETR 3045L - Reservoir Engineering Lab (M 02:00 PM - 04:30 PM)
PETR 4024, 25665.0, TR, 12:30 PM - 01:45 PM, 3.0, PETR 4024 - Production Engineering (T/R 12:30 PM - 01:45 PM)
PETR 4024L, 25666.0, R, 02:00 PM - 04:30 PM, 1.0, PETR 4024L - Production Engineering Lab (R 02:00 PM - 04:30 PM)
PETR 4070, 25667.0, MW, 03:30 PM - 04:45 PM, 3.0, PETR 4070 - Applied Reservoir Simulation (M/W 03:30 PM - 04:45 PM)
PETR 4071, 25668.0, M, 01:00 PM - 03:00 PM, 3.0, PETR 4071 - Capstone Design I (M 01:00 PM - 03:00 PM)
PETR 5070, 25680.0, R, 03:00 PM - 04:30 PM, 1.0, PETR 5070 - Graduate Seminar (R 03:00 PM - 04:30 PM)
PETR 5071, 25683.0, TR, 05:00 PM - 06:15 PM, 3.0, PETR 5071 - Adv Form. Eval. - Geothermal (T/R 05:00 PM - 06:15 PM)
PETR 5071, 25684.0, MW, 03:30 PM - 04:45 PM, 3.0, PETR 5071 - Applied Reservoir Simulation (M/W 03:30 PM - 04:45 PM)
PETR 5071, 26118.0, MW, 10:30 AM - 11:45 AM, 3.0, PETR 5071 - Thermal Recovery - Geothermal (M/W 10:30 AM - 11:45 AM)
MGMT 3030, 25616.0, TR, 11:00 AM - 12:15 PM, 3.0, MGMT 3030 - Management Behavior & Org. (T/R 11:00 AM - 12:15 PM)
MGMT 4006, 26526.0, R, 05:00 PM - 08:00 PM, 3.0, MGMT 4006 - Human Resource Management (R 05:00 PM - 08:00 PM)
MGMT 4007, 25622.0, M, 05:00 PM - 08:00 PM, 3.0, MGMT 4007 - Technology Entrepreneurship (M 05:00 PM - 08:00 PM)
MGMT 4072, 25624.0, MW, 03:00 PM - 04:15 PM, 3.0, MGMT 4072 - Prod & Operations Mgmt (M/W 03:00 PM - 04:15 PM)
PHYS 0289L, 26433.0, M, 02:00 PM - 02:50 PM, 1.0, PHYS 0289L - NASA Here to Observe Lab (M 02:00 PM - 02:50 PM)
PHYS 1310, 25012.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1310 - g:Calculus-Based Physics I (T/R 11:00 AM - 12:15 PM)
PHYS 1310, 25013.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1310 - g:Calculus-Based Physics I (T/R 11:00 AM - 12:15 PM)
PHYS 1310, 25014.0, TR, 11:00 AM - 12:15 PM, 4.0, PHYS 1310 - g:Calculus-Based Physics I (T/R 11:00 AM - 12:15 PM)
PHYS 1310, 25015.0, MWF, 11:00 AM - 11:50 AM, 4.0, PHYS 1310 - g:Calculus-Based Physics I (M/W/F 11:00 AM - 11:50 AM)
